City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,57.52,86,93,28.3,SH,1727950909
1,adamstown,-25.066,-130.1015,69.31,74,67,17.22,PN,1727950910
2,madang,-5.2246,145.7966,79.38,89,94,3.65,PG,1727950912
3,coquimbo,-29.9533,-71.3436,49.73,100,0,3.44,CL,1727950913
4,grytviken,-54.2811,-36.5092,24.57,83,56,10.4,GS,1727950914
5,olonkinbyen,70.9221,-8.7187,29.79,73,88,16.6,SJ,1727950915
6,ushuaia,-54.8,-68.3,40.66,70,40,12.66,AR,1727950916
7,kangding,30.0513,101.9603,53.64,97,96,4.12,CN,1727950917
8,stanley,54.868,-1.6985,55.53,87,40,3.44,GB,1727950919
9,georgetown,5.4112,100.3354,80.53,94,40,4.61,MY,1727950920
10,puerto natales,-51.7236,-72.4875,40.15,77,100,20.6,CL,1727950921
11,xinqing,48.2333,129.5,50.11,70,0,5.61,CN,1727950922
12,eirunepe,-6.6603,-69.8736,75.15,75,8,1.9,BR,1727950923
13,whitehorse,60.7161,-135.0538,37.02,87,100,12.66,CA,1727950925
14,bilibino,68.0546,166.4372,20.3,97,99,5.95,RU,1727950926
15,margaret river,-33.95,115.0667,56.48,79,100,20.09,AU,1727950927
16,port-aux-francais,-49.35,70.2167,33.82,80,100,30.8,TF,1727950928
17,mugia,43.1041,-9.2179,61.92,87,99,5.14,ES,1727950929
18,tiksi,71.6872,128.8694,28.9,80,99,9.89,RU,1727950930
19,ilulissat,69.2167,-51.1,46.42,46,75,16.11,GL,1727950932
20,marolambo,-20.05,48.1167,64.42,96,100,5.7,MG,1727950933
21,sao vicente,-23.9631,-46.3919,69.98,26,100,6.51,BR,1727950934
22,cidreira,-30.1811,-50.2056,57.51,63,8,8.41,BR,1727950935
23,puerto ayora,-0.7393,-90.3518,68.56,95,99,1.01,EC,1727950936
24,chibougamau,49.9168,-74.3659,46.02,87,100,6.91,CA,1727950937
25,talcahuano,-36.7167,-73.1167,40.68,93,0,4.61,CL,1727950940
26,alice springs,-23.7,133.8833,72.95,27,54,5.75,AU,1727950941
27,surazh,53.0175,32.3918,68.77,20,100,12.44,RU,1727950943
28,agat village,13.3886,144.6585,79.36,92,100,11.34,GU,1727950944
29,renfrew,55.872,-4.3925,48.56,95,100,8.05,GB,1727950945
30,waitangi,-43.9535,-176.5597,53.82,92,93,8.01,NZ,1727950946
31,inhambane,-23.865,35.3833,75.18,69,40,11.5,MZ,1727950947
32,aasiaat,68.7098,-52.8699,33.44,71,96,8.59,GL,1727950948
